regime,question_id,reasoning_correct,revise_correct,revise_helpful,safe_cheap,both_wrong,unnecessary_revise_candidate,method_best_label,policy_v5,policy_v6,policy_v7,correct_if_v5,correct_if_v6,correct_if_v7,cost_v5,cost_v6,cost_v7,prompt_number_count,prompt_token_length,target_quantity_type,multi_stepness_proxy,explicit_constraint_presence,relational_wording_presence,special_structure_presence,final_answer_parseable,body_final_numeric_mismatch,target_quantity_mismatch,constraint_violation_signal,copied_question_number_as_final_answer,cheap_route_confidence,explanation_warning_signal,answer_error_signal,v6_answer_error_score_raw,v6_explanation_warning_score_raw
gsm8k_random_100,gsm8k_test_0,1,1,0,1,0,1,reasoning_greedy,reasoning_greedy,direct_plus_revise,direct_plus_revise,1,1,1,1,2,2,2.0,52.0,rate_or_unit,1,1,0,1,1,0,0,0,0,1,0,1,2.0,0.0
gsm8k_random_100,gsm8k_test_1,1,1,0,1,0,0,reasoning_greedy,reasoning_greedy,reasoning_greedy,reasoning_greedy,1,1,1,1,1,1,1.0,22.0,total,1,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_2,1,1,0,1,0,0,reasoning_greedy,direct_plus_revise,reasoning_greedy,reasoning_greedy,1,1,1,2,1,1,3.0,35.0,money,0,1,0,1,1,0,0,0,0,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_3,1,1,0,1,0,0,reasoning_greedy,reasoning_greedy,reasoning_greedy,reasoning_greedy,1,1,1,1,1,1,3.0,25.0,rate_or_unit,0,0,0,1,1,0,0,0,0,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_4,1,1,0,1,0,1,reasoning_greedy,reasoning_greedy,direct_plus_revise,direct_plus_revise,1,1,1,1,2,2,3.0,87.0,rate_or_unit,1,0,0,1,1,0,0,0,0,1,0,1,2.0,0.0
gsm8k_random_100,gsm8k_test_5,1,1,0,1,0,0,reasoning_greedy,direct_plus_revise,reasoning_greedy,reasoning_greedy,1,1,1,2,1,1,3.0,41.0,rate_or_unit,1,0,0,1,1,0,0,0,0,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_6,1,1,0,1,0,0,reasoning_greedy,reasoning_greedy,reasoning_greedy,reasoning_greedy,1,1,1,1,1,1,2.0,32.0,other,0,1,0,0,1,0,0,0,0,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_7,0,0,0,0,1,0,reasoning_greedy,direct_plus_revise,reasoning_greedy,reasoning_greedy,0,0,0,2,1,1,4.0,51.0,time,1,1,0,1,1,0,0,0,1,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_8,1,1,0,1,0,1,reasoning_greedy,direct_plus_revise,direct_plus_revise,direct_plus_revise,1,1,1,2,2,2,8.0,82.0,remaining_or_left,0,1,1,1,1,0,0,1,0,1,0,1,2.0,0.0
gsm8k_random_100,gsm8k_test_9,1,1,0,1,0,0,reasoning_greedy,reasoning_greedy,reasoning_greedy,reasoning_greedy,1,1,1,1,1,1,4.0,44.0,rate_or_unit,1,1,0,1,1,0,0,0,0,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_10,1,1,0,1,0,0,reasoning_greedy,reasoning_greedy,reasoning_greedy,reasoning_greedy,1,1,1,1,1,1,2.0,51.0,total,0,1,0,1,1,0,0,0,0,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_11,1,1,0,1,0,0,reasoning_greedy,reasoning_greedy,reasoning_greedy,reasoning_greedy,1,1,1,1,1,1,6.0,45.0,rate_or_unit,0,0,0,1,1,0,0,0,1,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_12,0,0,0,0,1,0,reasoning_greedy,direct_plus_revise,direct_plus_revise,direct_plus_revise,0,0,0,2,2,2,4.0,53.0,rate_or_unit,1,1,0,1,1,0,0,0,0,0,0,1,3.0,0.0
gsm8k_random_100,gsm8k_test_13,0,0,0,0,1,0,reasoning_greedy,direct_plus_revise,direct_plus_revise,direct_plus_revise,0,0,0,2,2,2,2.0,46.0,remaining_or_left,0,1,1,0,1,0,0,0,0,0,0,1,2.0,0.0
gsm8k_random_100,gsm8k_test_14,1,1,0,1,0,1,reasoning_greedy,direct_plus_revise,direct_plus_revise,direct_plus_revise,1,1,1,2,2,2,3.0,37.0,remaining_or_left,0,0,1,1,1,0,1,1,0,1,0,1,4.0,0.0
gsm8k_random_100,gsm8k_test_15,1,1,0,1,0,1,reasoning_greedy,direct_plus_revise,direct_plus_revise,direct_plus_revise,1,1,1,2,2,2,5.0,69.0,money,0,0,0,1,1,1,1,1,0,1,0,1,4.0,0.0
gsm8k_random_100,gsm8k_test_16,1,1,0,1,0,0,reasoning_greedy,reasoning_greedy,reasoning_greedy,reasoning_greedy,1,1,1,1,1,1,2.0,38.0,rate_or_unit,0,0,0,1,1,0,0,0,0,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_17,1,1,0,1,0,0,reasoning_greedy,reasoning_greedy,reasoning_greedy,reasoning_greedy,1,1,1,1,1,1,5.0,41.0,rate_or_unit,0,0,0,1,1,0,0,0,0,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_18,1,1,0,1,0,0,reasoning_greedy,reasoning_greedy,reasoning_greedy,reasoning_greedy,1,1,1,1,1,1,2.0,21.0,rate_or_unit,0,0,0,1,1,0,0,0,0,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_19,1,1,0,1,0,0,reasoning_greedy,reasoning_greedy,reasoning_greedy,reasoning_greedy,1,1,1,1,1,1,4.0,51.0,rate_or_unit,0,1,1,1,1,0,0,0,0,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_20,1,1,0,1,0,1,reasoning_greedy,direct_plus_revise,direct_plus_revise,direct_plus_revise,1,1,1,2,2,2,3.0,49.0,remaining_or_left,0,1,1,0,1,0,0,0,0,1,0,1,2.0,0.0
gsm8k_random_100,gsm8k_test_21,1,1,0,1,0,0,reasoning_greedy,reasoning_greedy,reasoning_greedy,reasoning_greedy,1,1,1,1,1,1,3.0,34.0,time,0,0,0,1,1,0,0,0,0,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_22,1,1,0,1,0,0,reasoning_greedy,direct_plus_revise,reasoning_greedy,reasoning_greedy,1,1,1,2,1,1,5.0,41.0,rate_or_unit,1,1,0,1,1,0,0,0,1,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_23,1,1,0,1,0,0,reasoning_greedy,reasoning_greedy,reasoning_greedy,reasoning_greedy,1,1,1,1,1,1,5.0,27.0,rate_or_unit,0,0,0,1,1,0,0,0,0,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_24,1,1,0,1,0,0,reasoning_greedy,reasoning_greedy,reasoning_greedy,reasoning_greedy,1,1,1,1,1,1,2.0,26.0,money,0,0,0,1,1,0,0,0,0,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_25,1,1,0,1,0,1,reasoning_greedy,reasoning_greedy,reasoning_greedy,direct_plus_revise,1,1,1,1,1,2,7.0,46.0,rate_or_unit,0,0,0,1,1,1,0,0,1,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_26,1,1,0,1,0,0,reasoning_greedy,direct_plus_revise,reasoning_greedy,reasoning_greedy,1,1,1,2,1,1,6.0,45.0,money,1,1,0,0,1,0,0,0,1,1,0,0,0.0,0.0
gsm8k_random_100,gsm8k_test_27,1,1,0,1,0,0,reasoning_greedy,reasoning_greedy,reasoning_greedy,reasoning_greedy,1,1,1,1,1,1,3.0,41.0,rate_or_unit,1,1,0,1,1,0,0,0,0,1,0,0,0.0,0.0
